Reporting Area,Current MMWR Year,MMWR WEEK,Label,Current week,"Current week, flag",Previous 52 week Max,"Previous 52 weeks Max, flag",Cumulative YTD Current MMWR Year,"Cumulative YTD Current MMWR Year, flag",Cumulative YTD Previous MMWR Year,"Cumulative YTD Previous MMWR Year, flag",LOCATION1,LOCATION2,sort_order,geocode
Alabama,2025,11,"Measles, Imported",,-,0,,,-,,-,Alabama,,20251104379,POINT (-86.30006 32.38015)
Kentucky,2025,11,"Measles, Imported",,-,1,,1,,,-,Kentucky,,20251104380,POINT (-84.8787 38.19507)
Mississippi,2025,11,"Measles, Imported",,-,0,,,-,,-,Mississippi,,20251104381,POINT (-90.18045 32.29896)
Tennessee,2025,11,"Measles, Imported",,-,1,,,-,,-,Tennessee,,20251104382,POINT (-86.77817 36.16784)
West South Central,2025,11,"Measles, Imported",,-,1,,,-,,-,,West South Central,20251104383,
Arkansas,2025,11,"Measles, Imported",,-,0,,,-,,-,Arkansas,,20251104384,POINT (-92.27486 34.7487)
Louisiana,2025,11,"Measles, Imported",,-,1,,,-,,-,Louisiana,,20251104385,POINT (-91.18665 30.44335)
Oklahoma,2025,11,"Measles, Imported",,-,0,,,-,,-,Oklahoma,,20251104386,POINT (-97.52107 35.47203)
Texas,2025,11,"Measles, Imported",,-,0,,,-,,-,Texas,,20251104387,POINT (-97.743 30.26759)
Mountain,2025,11,"Measles, Imported",,-,2,,,-,,-,,Mountain,20251104388,
Arizona,2025,11,"Measles, Imported",,-,1,,,-,,-,Arizona,,20251104389,POINT (-112.07581 33.44825)
Colorado,2025,11,"Measles, Imported",,-,0,,,-,,-,Colorado,,20251104390,POINT (-104.99203 39.74001)
Idaho,2025,11,"Measles, Imported",,-,0,,,-,,-,Idaho,,20251104391,POINT (-116.19341 43.60764)
Montana,2025,11,"Measles, Imported",,-,0,,,-,,-,Montana,,20251104392,POINT (-112.02066 46.58976)
Nevada,2025,11,"Measles, Imported",,-,0,,,-,,-,Nevada,,20251104393,POINT (-119.76698 39.16505)
New Mexico,2025,11,"Measles, Imported",,-,2,,,-,,-,New Mexico,,20251104394,POINT (-105.93825 35.69177)
Utah,2025,11,"Measles, Imported",,-,0,,,-,,-,Utah,,20251104395,POINT (-111.88822 40.76031)
Wyoming,2025,11,"Measles, Imported",,-,0,,,-,,-,Wyoming,,20251104396,POINT (-104.82155 41.13481)
Pacific,2025,11,"Measles, Imported",,-,1,,4,,3,,,Pacific,20251104397,
Alaska,2025,11,"Measles, Imported",,-,1,,2,,,-,Alaska,,20251104398,POINT (-134.4068 58.29973)
California,2025,11,"Measles, Imported",,-,1,,2,,2,,California,,20251104399,POINT (-121.49086 38.57944)
Hawaii,2025,11,"Measles, Imported",,-,0,,,-,,-,Hawaii,,20251104400,POINT (-157.85788 21.30493)
Oregon,2025,11,"Measles, Imported",,-,1,,,-,,-,Oregon,,20251104401,POINT (-123.04382 44.93326)
Washington,2025,11,"Measles, Imported",,-,1,,,-,1,,Washington,,20251104402,POINT (-122.89167 47.03956)
U.S. Territories,2025,11,"Measles, Imported",,-,0,,,-,,-,,U.S. Territories,20251104403,
American Samoa,2025,11,"Measles, Imported",,-,0,,,-,,-,American Samoa,,20251104404,
Commonwealth of Northern Mariana Islands,2025,11,"Measles, Imported",,-,0,,,-,,-,Commonwealth of Northern Mariana Islands,,20251104405,
Guam,2025,11,"Measles, Imported",,-,0,,,-,,-,Guam,,20251104406,
Puerto Rico,2025,11,"Measles, Imported",,-,0,,,-,,-,Puerto Rico,,20251104407,POINT (-66.11692 18.46536)
U.S. Virgin Islands,2025,11,"Measles, Imported",,-,0,,,-,,-,U.S. Virgin Islands,,20251104408,
Non-U.S. Residents,2025,11,"Measles, Imported",,-,0,,,-,,-,,Non-U.S. Residents,20251104409,
Total,2025,11,"Measles, Imported",1.0,,8,,9,,11,,,Total,20251104410,
U.S. Residents,2025,11,"Measles, Indigenous",27.0,,36,,113,,49,,,U.S. Residents,20251104411,
New England,2025,11,"Measles, Indigenous",,-,3,,,-,,-,,New England,20251104412,
Connecticut,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Connecticut,,20251104413,POINT (-72.67398 41.76381)
Maine,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Maine,,20251104414,POINT (-69.77631 44.31804)
Massachusetts,2025,11,"Measles, Indigenous",,-,1,,,-,,-,Massachusetts,,20251104415,POINT (-71.05675 42.35866)
New Hampshire,2025,11,"Measles, Indigenous",,-,1,,,-,,-,New Hampshire,,20251104416,POINT (-71.53661 43.20725)
Rhode Island,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Rhode Island,,20251104417,POINT (-71.41198 41.82388)
Vermont,2025,11,"Measles, Indigenous",,-,1,,,-,,-,Vermont,,20251104418,POINT (-72.57627 44.26029)
Middle Atlantic,2025,11,"Measles, Indigenous",,-,2,,1,,3,,,Middle Atlantic,20251104419,
New Jersey,2025,11,"Measles, Indigenous",,-,2,,,-,1,,New Jersey,,20251104420,POINT (-74.75948 40.21794)
New York,2025,11,"Measles, Indigenous",,-,0,,,-,,-,New York,,20251104421,POINT (-73.75522 42.65155)
New York City,2025,11,"Measles, Indigenous",,-,2,,,-,,-,New York City,,20251104422,POINT (-73.75522 42.65155)
Pennsylvania,2025,11,"Measles, Indigenous",,-,1,,1,,2,,Pennsylvania,,20251104423,POINT (-76.88224 40.25986)
East North Central,2025,11,"Measles, Indigenous",,-,36,,,-,19,,,East North Central,20251104424,
Illinois,2025,11,"Measles, Indigenous",,-,35,,,-,13,,Illinois,,20251104425,POINT (-89.64361 39.8013)
Indiana,2025,11,"Measles, Indigenous",,-,0,,,-,1,,Indiana,,20251104426,POINT (-86.15013 39.76691)
Michigan,2025,11,"Measles, Indigenous",,-,1,,,-,2,,Michigan,,20251104427,POINT (-84.55226 42.73194)
Ohio,2025,11,"Measles, Indigenous",,-,1,,,-,3,,Ohio,,20251104428,POINT (-83.00276 39.96199)
Wisconsin,2025,11,"Measles, Indigenous",,-,1,,,-,,-,Wisconsin,,20251104429,POINT (-89.38645 43.07313)
West North Central,2025,11,"Measles, Indigenous",1.0,,11,,1,,4,,,West North Central,20251104430,
Iowa,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Iowa,,20251104431,POINT (-93.61539 41.58981)
Kansas,2025,11,"Measles, Indigenous",1.0,,0,,1,,,-,Kansas,,20251104432,POINT (-95.67119 39.04931)
Minnesota,2025,11,"Measles, Indigenous",,-,11,,,-,2,,Minnesota,,20251104433,POINT (-93.09649 44.94339)
Missouri,2025,11,"Measles, Indigenous",,-,0,,,-,2,,Missouri,,20251104434,POINT (-92.17785 38.57751)
Nebraska,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Nebraska,,20251104435,POINT (-96.70731 40.81362)
North Dakota,2025,11,"Measles, Indigenous",,-,0,,,-,,-,North Dakota,,20251104436,POINT (-100.7797 46.80536)
South Dakota,2025,11,"Measles, Indigenous",,-,1,,,-,,-,South Dakota,,20251104437,POINT (-100.34987 44.36917)
South Atlantic,2025,11,"Measles, Indigenous",,-,1,,1,,12,,,South Atlantic,20251104438,POINT (-100.34987 44.36917)
Delaware,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Delaware,,20251104439,POINT (-75.52474 39.15803)
District of Columbia,2025,11,"Measles, Indigenous",,-,0,,,-,,-,District of Columbia,,20251104440,
Florida,2025,11,"Measles, Indigenous",,-,1,,1,,10,,Florida,,20251104441,POINT (-84.28065 30.43978)
Georgia,2025,11,"Measles, Indigenous",,-,1,,,-,2,,Georgia,,20251104442,POINT (-84.39111 33.74831)
Maryland,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Maryland,,20251104443,POINT (-76.49015 38.97678)
North Carolina,2025,11,"Measles, Indigenous",,-,0,,,-,,-,North Carolina,,20251104444,POINT (-78.6427 35.78547)
South Carolina,2025,11,"Measles, Indigenous",,-,1,,,-,,-,South Carolina,,20251104445,POINT (-81.04537 33.99882)
Virginia,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Virginia,,20251104446,POINT (-77.43367 37.54068)
West Virginia,2025,11,"Measles, Indigenous",,-,0,,,-,,-,West Virginia,,20251104447,POINT (-81.63896 38.35016)
East South Central,2025,11,"Measles, Indigenous",,-,1,,,-,,-,,East South Central,20251104448,
Alabama,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Alabama,,20251104449,POINT (-86.30006 32.38015)
Kentucky,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Kentucky,,20251104450,POINT (-84.8787 38.19507)
Mississippi,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Mississippi,,20251104451,POINT (-90.18045 32.29896)
Tennessee,2025,11,"Measles, Indigenous",,-,1,,,-,,-,Tennessee,,20251104452,POINT (-86.77817 36.16784)
West South Central,2025,11,"Measles, Indigenous",25.0,,31,,98,,2,,,West South Central,20251104453,
Arkansas,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Arkansas,,20251104454,POINT (-92.27486 34.7487)
Louisiana,2025,11,"Measles, Indigenous",,-,0,,,-,2,,Louisiana,,20251104455,POINT (-91.18665 30.44335)
Oklahoma,2025,11,"Measles, Indigenous",,-,1,,,-,,-,Oklahoma,,20251104456,POINT (-97.52107 35.47203)
Texas,2025,11,"Measles, Indigenous",25.0,,31,,98,,,-,Texas,,20251104457,POINT (-97.743 30.26759)
Mountain,2025,11,"Measles, Indigenous",1.0,,7,,9,,4,,,Mountain,20251104458,
Arizona,2025,11,"Measles, Indigenous",,-,0,,,-,4,,Arizona,,20251104459,POINT (-112.07581 33.44825)
Colorado,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Colorado,,20251104460,POINT (-104.99203 39.74001)
Idaho,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Idaho,,20251104461,POINT (-116.19341 43.60764)
Montana,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Montana,,20251104462,POINT (-112.02066 46.58976)
Nevada,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Nevada,,20251104463,POINT (-119.76698 39.16505)
New Mexico,2025,11,"Measles, Indigenous",1.0,,7,,9,,,-,New Mexico,,20251104464,POINT (-105.93825 35.69177)
Utah,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Utah,,20251104465,POINT (-111.88822 40.76031)
Wyoming,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Wyoming,,20251104466,POINT (-104.82155 41.13481)
Pacific,2025,11,"Measles, Indigenous",,-,9,,3,,5,,,Pacific,20251104467,
Alaska,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Alaska,,20251104468,POINT (-134.4068 58.29973)
California,2025,11,"Measles, Indigenous",,-,2,,3,,3,,California,,20251104469,POINT (-121.49086 38.57944)
Hawaii,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Hawaii,,20251104470,POINT (-157.85788 21.30493)
Oregon,2025,11,"Measles, Indigenous",,-,9,,,-,,-,Oregon,,20251104471,POINT (-123.04382 44.93326)
Washington,2025,11,"Measles, Indigenous",,-,1,,,-,2,,Washington,,20251104472,POINT (-122.89167 47.03956)
U.S. Territories,2025,11,"Measles, Indigenous",,-,0,,,-,,-,,U.S. Territories,20251104473,
American Samoa,2025,11,"Measles, Indigenous",,-,0,,,-,,-,American Samoa,,20251104474,
Commonwealth of Northern Mariana Islands,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Commonwealth of Northern Mariana Islands,,20251104475,
Guam,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Guam,,20251104476,
Puerto Rico,2025,11,"Measles, Indigenous",,-,0,,,-,,-,Puerto Rico,,20251104477,POINT (-66.11692 18.46536)
U.S. Virgin Islands,2025,11,"Measles, Indigenous",,-,0,,,-,,-,U.S. Virgin Islands,,20251104478,
Non-U.S. Residents,2025,11,"Measles, Indigenous",,-,0,,,-,,-,,Non-U.S. Residents,20251104479,
Total,2025,11,"Measles, Indigenous",27.0,,36,,113,,49,,,Total,20251104480,
U.S. Residents,2025,11,"Meningococcal disease, All serogroups",4.0,,21,,77,,168,,,U.S. Residents,20251104551,
New England,2025,11,"Meningococcal disease, All serogroups",,-,2,,4,,5,,,New England,20251104552,
Connecticut,2025,11,"Meningococcal disease, All serogroups",,-,2,,3,,2,,Connecticut,,20251104553,POINT (-72.67398 41.76381)
Maine,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,1,,Maine,,20251104554,POINT (-69.77631 44.31804)
Massachusetts,2025,11,"Meningococcal disease, All serogroups",,-,2,,1,,2,,Massachusetts,,20251104555,POINT (-71.05675 42.35866)
New Hampshire,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,,-,New Hampshire,,20251104556,POINT (-71.53661 43.20725)
Rhode Island,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Rhode Island,,20251104557,POINT (-71.41198 41.82388)
Vermont,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Vermont,,20251104558,POINT (-72.57627 44.26029)
Middle Atlantic,2025,11,"Meningococcal disease, All serogroups",,-,5,,8,,24,,,Middle Atlantic,20251104559,
New Jersey,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,9,,New Jersey,,20251104560,POINT (-74.75948 40.21794)
New York,2025,11,"Meningococcal disease, All serogroups",,-,3,,4,,5,,New York,,20251104561,POINT (-73.75522 42.65155)
New York City,2025,11,"Meningococcal disease, All serogroups",,-,2,,2,,8,,New York City,,20251104562,POINT (-73.75522 42.65155)
Pennsylvania,2025,11,"Meningococcal disease, All serogroups",,-,2,,2,,2,,Pennsylvania,,20251104563,POINT (-76.88224 40.25986)
East North Central,2025,11,"Meningococcal disease, All serogroups",,-,5,,12,,14,,,East North Central,20251104564,
Illinois,2025,11,"Meningococcal disease, All serogroups",,-,3,,5,,4,,Illinois,,20251104565,POINT (-89.64361 39.8013)
Indiana,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,1,,Indiana,,20251104566,POINT (-86.15013 39.76691)
Michigan,2025,11,"Meningococcal disease, All serogroups",,-,2,,2,,4,,Michigan,,20251104567,POINT (-84.55226 42.73194)
Ohio,2025,11,"Meningococcal disease, All serogroups",,-,2,,5,,4,,Ohio,,20251104568,POINT (-83.00276 39.96199)
Wisconsin,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,1,,Wisconsin,,20251104569,POINT (-89.38645 43.07313)
West North Central,2025,11,"Meningococcal disease, All serogroups",,-,2,,,-,4,,,West North Central,20251104570,
Iowa,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,1,,Iowa,,20251104571,POINT (-93.61539 41.58981)
Kansas,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Kansas,,20251104572,POINT (-95.67119 39.04931)
Minnesota,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Minnesota,,20251104573,POINT (-93.09649 44.94339)
Missouri,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,3,,Missouri,,20251104574,POINT (-92.17785 38.57751)
Nebraska,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Nebraska,,20251104575,POINT (-96.70731 40.81362)
North Dakota,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,,-,North Dakota,,20251104576,POINT (-100.7797 46.80536)
South Dakota,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,,-,South Dakota,,20251104577,POINT (-100.34987 44.36917)
South Atlantic,2025,11,"Meningococcal disease, All serogroups",1.0,,6,,19,,43,,,South Atlantic,20251104578,POINT (-100.34987 44.36917)
Delaware,2025,11,"Meningococcal disease, All serogroups",,-,1,,1,,2,,Delaware,,20251104579,POINT (-75.52474 39.15803)
District of Columbia,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,,-,District of Columbia,,20251104580,
Florida,2025,11,"Meningococcal disease, All serogroups",,-,2,,10,,13,,Florida,,20251104581,POINT (-84.28065 30.43978)
Georgia,2025,11,"Meningococcal disease, All serogroups",,-,2,,,-,12,,Georgia,,20251104582,POINT (-84.39111 33.74831)
Maryland,2025,11,"Meningococcal disease, All serogroups",1.0,,1,,3,,4,,Maryland,,20251104583,POINT (-76.49015 38.97678)
North Carolina,2025,11,"Meningococcal disease, All serogroups",,-,2,,1,,2,,North Carolina,,20251104584,POINT (-78.6427 35.78547)
South Carolina,2025,11,"Meningococcal disease, All serogroups",,-,1,,1,,1,,South Carolina,,20251104585,POINT (-81.04537 33.99882)
Virginia,2025,11,"Meningococcal disease, All serogroups",,-,3,,3,,9,,Virginia,,20251104586,POINT (-77.43367 37.54068)
West Virginia,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,,-,West Virginia,,20251104587,POINT (-81.63896 38.35016)
East South Central,2025,11,"Meningococcal disease, All serogroups",,-,4,,5,,12,,,East South Central,20251104588,
Alabama,2025,11,"Meningococcal disease, All serogroups",,-,2,,3,,5,,Alabama,,20251104589,POINT (-86.30006 32.38015)
Kentucky,2025,11,"Meningococcal disease, All serogroups",,-,2,,1,,1,,Kentucky,,20251104590,POINT (-84.8787 38.19507)
Mississippi,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Mississippi,,20251104591,POINT (-90.18045 32.29896)
Tennessee,2025,11,"Meningococcal disease, All serogroups",,-,2,,1,,6,,Tennessee,,20251104592,POINT (-86.77817 36.16784)
West South Central,2025,11,"Meningococcal disease, All serogroups",,-,3,,3,,22,,,West South Central,20251104593,
Arkansas,2025,11,"Meningococcal disease, All serogroups",,-,2,,1,,,-,Arkansas,,20251104594,POINT (-92.27486 34.7487)
Louisiana,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,2,,Louisiana,,20251104595,POINT (-91.18665 30.44335)
Oklahoma,2025,11,"Meningococcal disease, All serogroups",,-,1,,1,,1,,Oklahoma,,20251104596,POINT (-97.52107 35.47203)
Texas,2025,11,"Meningococcal disease, All serogroups",,-,2,,1,,19,,Texas,,20251104597,POINT (-97.743 30.26759)
Mountain,2025,11,"Meningococcal disease, All serogroups",2.0,,3,,15,,20,,,Mountain,20251104598,
Arizona,2025,11,"Meningococcal disease, All serogroups",,-,2,,8,,8,,Arizona,,20251104599,POINT (-112.07581 33.44825)
Colorado,2025,11,"Meningococcal disease, All serogroups",2.0,,2,,6,,9,,Colorado,,20251104600,POINT (-104.99203 39.74001)
Idaho,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,1,,Idaho,,20251104601,POINT (-116.19341 43.60764)
Montana,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Montana,,20251104602,POINT (-112.02066 46.58976)
Nevada,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,1,,Nevada,,20251104603,POINT (-119.76698 39.16505)
New Mexico,2025,11,"Meningococcal disease, All serogroups",,-,1,,1,,1,,New Mexico,,20251104604,POINT (-105.93825 35.69177)
Utah,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Utah,,20251104605,POINT (-111.88822 40.76031)
Wyoming,2025,11,"Meningococcal disease, All serogroups",,-,1,,,-,,-,Wyoming,,20251104606,POINT (-104.82155 41.13481)
Pacific,2025,11,"Meningococcal disease, All serogroups",1.0,,7,,11,,24,,,Pacific,20251104607,
Alaska,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Alaska,,20251104608,POINT (-134.4068 58.29973)
California,2025,11,"Meningococcal disease, All serogroups",1.0,,6,,8,,18,,California,,20251104609,POINT (-121.49086 38.57944)
Hawaii,2025,11,"Meningococcal disease, All serogroups",,-,1,,1,,2,,Hawaii,,20251104610,POINT (-157.85788 21.30493)
Oregon,2025,11,"Meningococcal disease, All serogroups",,-,1,,1,,1,,Oregon,,20251104611,POINT (-123.04382 44.93326)
Washington,2025,11,"Meningococcal disease, All serogroups",,-,1,,1,,3,,Washington,,20251104612,POINT (-122.89167 47.03956)
U.S. Territories,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,1,,,U.S. Territories,20251104613,
American Samoa,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,,-,American Samoa,,20251104614,
Commonwealth of Northern Mariana Islands,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Commonwealth of Northern Mariana Islands,,20251104615,
Guam,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,,-,Guam,,20251104616,
Puerto Rico,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,1,,Puerto Rico,,20251104617,POINT (-66.11692 18.46536)
U.S. Virgin Islands,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,,-,U.S. Virgin Islands,,20251104618,
Non-U.S. Residents,2025,11,"Meningococcal disease, All serogroups",,-,0,,,-,,-,,Non-U.S. Residents,20251104619,
Total,2025,11,"Meningococcal disease, All serogroups",4.0,,21,,77,,169,,,Total,20251104620,
U.S. Residents,2025,11,Pertussis,158.0,,"1,674",,"6,154",,"2,515",,,U.S. Residents,20251105251,
New England,2025,11,Pertussis,1.0,,68,,106,,41,,,New England,20251105252,
Connecticut,2025,11,Pertussis,,-,18,,11,,7,,Connecticut,,20251105253,POINT (-72.67398 41.76381)
Maine,2025,11,Pertussis,,-,17,,13,,14,,Maine,,20251105254,POINT (-69.77631 44.31804)
Massachusetts,2025,11,Pertussis,,-,42,,43,,18,,Massachusetts,,20251105255,POINT (-71.05675 42.35866)
New Hampshire,2025,11,Pertussis,1.0,,6,,28,,,-,New Hampshire,,20251105256,POINT (-71.53661 43.20725)
Rhode Island,2025,11,Pertussis,,-,10,,,-,,-,Rhode Island,,20251105257,POINT (-71.41198 41.82388)
Vermont,2025,11,Pertussis,,-,12,,11,,2,,Vermont,,20251105258,POINT (-72.57627 44.26029)
Middle Atlantic,2025,11,Pertussis,11.0,,203,,427,,733,,,Middle Atlantic,20251105259,
New Jersey,2025,11,Pertussis,,-,52,,,-,193,,New Jersey,,20251105260,POINT (-74.75948 40.21794)
New York,2025,11,Pertussis,6.0,,74,,171,,212,,New York,,20251105261,POINT (-73.75522 42.65155)
New York City,2025,11,Pertussis,,-,39,,69,,131,,New York City,,20251105262,POINT (-73.75522 42.65155)
Pennsylvania,2025,11,Pertussis,5.0,,107,,187,,197,,Pennsylvania,,20251105263,POINT (-76.88224 40.25986)
East North Central,2025,11,Pertussis,25.0,,518,,"1,330",,488,,,East North Central,20251105264,
Illinois,2025,11,Pertussis,,-,128,,220,,225,,Illinois,,20251105265,POINT (-89.64361 39.8013)
Indiana,2025,11,Pertussis,1.0,,32,,102,,41,,Indiana,,20251105266,POINT (-86.15013 39.76691)
Michigan,2025,11,Pertussis,2.0,,148,,411,,43,,Michigan,,20251105267,POINT (-84.55226 42.73194)
Ohio,2025,11,Pertussis,20.0,,93,,361,,156,,Ohio,,20251105268,POINT (-83.00276 39.96199)
Wisconsin,2025,11,Pertussis,2.0,,189,,236,,23,,Wisconsin,,20251105269,POINT (-89.38645 43.07313)
West North Central,2025,11,Pertussis,9.0,,300,,453,,159,,,West North Central,20251105270,
Iowa,2025,11,Pertussis,,-,29,,68,,13,,Iowa,,20251105271,POINT (-93.61539 41.58981)
Kansas,2025,11,Pertussis,1.0,,17,,45,,17,,Kansas,,20251105272,POINT (-95.67119 39.04931)
Minnesota,2025,11,Pertussis,,-,145,,72,,18,,Minnesota,,20251105273,POINT (-93.09649 44.94339)
Missouri,2025,11,Pertussis,,-,53,,94,,38,,Missouri,,20251105274,POINT (-92.17785 38.57751)
Nebraska,2025,11,Pertussis,8.0,,60,,130,,4,,Nebraska,,20251105275,POINT (-96.70731 40.81362)
North Dakota,2025,11,Pertussis,,-,17,,40,,30,,North Dakota,,20251105276,POINT (-100.7797 46.80536)
South Dakota,2025,11,Pertussis,,-,38,,4,,39,,South Dakota,,20251105277,POINT (-100.34987 44.36917)
South Atlantic,2025,11,Pertussis,28.0,,143,,629,,234,,,South Atlantic,20251105278,POINT (-100.34987 44.36917)
Delaware,2025,11,Pertussis,,-,6,,5,,1,,Delaware,,20251105279,POINT (-75.52474 39.15803)
District of Columbia,2025,11,Pertussis,,-,2,,,-,1,,District of Columbia,,20251105280,
Florida,2025,11,Pertussis,16.0,,44,,300,,47,,Florida,,20251105281,POINT (-84.28065 30.43978)
Georgia,2025,11,Pertussis,,-,18,,,-,26,,Georgia,,20251105282,POINT (-84.39111 33.74831)
Maryland,2025,11,Pertussis,3.0,,21,,46,,11,,Maryland,,20251105283,POINT (-76.49015 38.97678)
North Carolina,2025,11,Pertussis,,-,49,,107,,30,,North Carolina,,20251105284,POINT (-78.6427 35.78547)
South Carolina,2025,11,Pertussis,,-,17,,,-,59,,South Carolina,,20251105285,POINT (-81.04537 33.99882)
Virginia,2025,11,Pertussis,9.0,,33,,162,,49,,Virginia,,20251105286,POINT (-77.43367 37.54068)
West Virginia,2025,11,Pertussis,,-,3,,9,,10,,West Virginia,,20251105287,POINT (-81.63896 38.35016)
East South Central,2025,11,Pertussis,16.0,,103,,561,,54,,,East South Central,20251105288,
Alabama,2025,11,Pertussis,5.0,,52,,232,,9,,Alabama,,20251105289,POINT (-86.30006 32.38015)
Kentucky,2025,11,Pertussis,3.0,,37,,127,,24,,Kentucky,,20251105290,POINT (-84.8787 38.19507)
Mississippi,2025,11,Pertussis,,-,7,,20,,5,,Mississippi,,20251105291,POINT (-90.18045 32.29896)
Tennessee,2025,11,Pertussis,8.0,,27,,182,,16,,Tennessee,,20251105292,POINT (-86.77817 36.16784)
West South Central,2025,11,Pertussis,10.0,,138,,260,,86,,,West South Central,20251105293,
Arkansas,2025,11,Pertussis,9.0,,34,,86,,,-,Arkansas,,20251105294,POINT (-92.27486 34.7487)
Louisiana,2025,11,Pertussis,1.0,,13,,82,,6,,Louisiana,,20251105295,POINT (-91.18665 30.44335)
Oklahoma,2025,11,Pertussis,,-,61,,92,,,-,Oklahoma,,20251105296,POINT (-97.52107 35.47203)
Texas,2025,11,Pertussis,,-,74,,,-,80,,Texas,,20251105297,POINT (-97.743 30.26759)
Mountain,2025,11,Pertussis,28.0,,133,,833,,358,,,Mountain,20251105298,
Arizona,2025,11,Pertussis,15.0,,36,,253,,112,,Arizona,,20251105299,POINT (-112.07581 33.44825)
Colorado,2025,11,Pertussis,8.0,,35,,154,,121,,Colorado,,20251105300,POINT (-104.99203 39.74001)
Idaho,2025,11,Pertussis,,-,66,,196,,41,,Idaho,,20251105301,POINT (-116.19341 43.60764)
Montana,2025,11,Pertussis,5.0,,24,,112,,3,,Montana,,20251105302,POINT (-112.02066 46.58976)
Nevada,2025,11,Pertussis,,-,4,,8,,24,,Nevada,,20251105303,POINT (-119.76698 39.16505)
New Mexico,2025,11,Pertussis,,-,9,,15,,15,,New Mexico,,20251105304,POINT (-105.93825 35.69177)
Utah,2025,11,Pertussis,,-,19,,95,,42,,Utah,,20251105305,POINT (-111.88822 40.76031)
Wyoming,2025,11,Pertussis,,-,0,,,-,,-,Wyoming,,20251105306,POINT (-104.82155 41.13481)
Pacific,2025,11,Pertussis,30.0,,267,,"1,555",,362,,,Pacific,20251105307,
Alaska,2025,11,Pertussis,2.0,,48,,70,,16,,Alaska,,20251105308,POINT (-134.4068 58.29973)
California,2025,11,Pertussis,12.0,,72,,358,,195,,California,,20251105309,POINT (-121.49086 38.57944)
Hawaii,2025,11,Pertussis,1.0,,16,,60,,6,,Hawaii,,20251105310,POINT (-157.85788 21.30493)
Oregon,2025,11,Pertussis,9.0,,73,,448,,44,,Oregon,,20251105311,POINT (-123.04382 44.93326)
Washington,2025,11,Pertussis,6.0,,146,,619,,101,,Washington,,20251105312,POINT (-122.89167 47.03956)
U.S. Territories,2025,11,Pertussis,,-,4,,,-,8,,,U.S. Territories,20251105313,
American Samoa,2025,11,Pertussis,,-,0,,,-,,-,American Samoa,,20251105314,
Commonwealth of Northern Mariana Islands,2025,11,Pertussis,,-,0,,,-,,-,Commonwealth of Northern Mariana Islands,,20251105315,
